Artist,Title,Lyrics
Taylor Swift,cardigan,"Vintage tee, brand new phone
High heels on cobblestones
When you are young, they assume you know nothing
Sequin smile, black lipstick
Sensual politics
When you are young, they assume you know nothing

But I knew you
Dancin' in your Levi's
Drunk under a streetlight, I
I knew you
Hand under my sweatshirt
Baby, kiss it better, I

And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite

A friend to all is a friend to none
Chase two girls, lose the one
When you are young, they assume you know nothing
But I knew you
Playing hide-and-seek and
Giving me your weekends, I
I knew you
Your heartbeat on the High Line
Once in twenty lifetimes, I

And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite

To kiss in cars and downtown bars
Was all we needed
You drew stars around my scars
But now I'm bleedin'

'Cause I knew you
Steppin' on the last train
Marked me like a bloodstain, I
I knew you
Tried to change the ending
Peter losing Wendy, I
I knew you
Leavin' like a father
Running like water, I
And when you are young, they assume you know nothing
But I knew you'd linger like a tattoo kiss
I knew you'd haunt all of my what-ifs
The smell of smoke would hang around this long
'Cause I knew everything when I was young
I knew I'd curse you for the longest time
Chasin' shadows in the grocery line
I knew you'd miss me once the thrill expired
And you'd be standin' in my front porch light
And I knew you'd come back to me
You'd come back to me
And you'd come back to me
And you'd come back

And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite142EmbedShare URLCopyEmbedCopy"
Taylor Swift,exile,"I can see you standing, honey
With his arms around your body
Laughin', but the joke's not funny at all
And it took you five whole minutes
To pack us up and leave me with it
Holdin' all this love out here in the hall

I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town, now I'm in exile, seein' you out
I think I've seen this film before

Ooh, ooh, ooh

I can see you starin', honey
Like he's just your understudy
Like you'd get your knuckles bloody for me
Second, third, and hundredth chances
Balancin' on breaking branches
Those eyes add insult to injury
I think I've seen this film before
And I didn't like the ending
I'm not your problem anymore
So who am I offending now?
You were my crown, now I'm in exile, seein' you out
I think I've seen this film before
So I'm leaving out the side door
So step right out, there is no amount
Of crying I can do for you
All this time
We always walked a very thin line
You didn't even hear me out (You didn't even hear me out)
You never gave a warning sign (I gave so many signs)
All this time
I never learned to read your mind (Never learned to read my mind)
I couldn't turn things around (You never turned things around)
'Cause you never gave a warning sign (I gave so many signs)
So many signs, so many signs
You didn't even see the signs

I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town, now I'm in exile, seein' you out
I think I've seen this film before
So I'm leavin' out the side door
So step right out, there is no amount
Of crying I can do for you
All this time
We always walked a very thin line
You didn't even hear me out (Didn't even hear me out)
You never gave a warning sign (I gave so many signs)
All this time
I never learned to read your mind (Never learned to read my mind)
I couldn't turn things around (You never turned things around)
'Cause you never gave a warning sign (I gave so many signs)
You never gave a warning sign (All this time)
(So many times) I never learned to read your mind
(So many signs) I couldn't turn things around (I couldn't turn things around)
'Cause you never gave a warning sign (You never gave a warning sign)
You never gave a warning sign
Ah, ah93EmbedShare URLCopyEmbedCopy"
Taylor Swift,Lover,"We could leave the Christmas lights up 'til January
And this is our place, we make the rules
And there's a dazzling haze, a mysterious way about you, dear
Have I known you twenty seconds or twenty years?

Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out, and take me home
You're my, my, my, my lover

We could let our friends crash in the living room
This is our place, we make the call
And I'm highly suspicious that everyone who sees you wants you
I've loved you three summers now, honey, but I want 'em all

Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out, and take me home (Forever and ever)
You're my, my, my, my lover
Ladies and gentlemen, will you please stand?
With every guitar string scar on my hand
I take this magnetic force of a man to be my lover
My heart's been borrowed and yours has been blue
All's well that ends well to end up with you
Swear to be overdramatic and true to my lover
And you'll save all your dirtiest jokes for me
And at every table, I'll save you a seat, lover

Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out, and take me home (Forever and ever)
You're my, my, my, my
Oh, you're my, my, my, my
Darling, you're my, my, my, my lover108EmbedShare URLCopyEmbedCopy"
Taylor Swift,the 1,"I'm doing good, I'm on some new shit
Been saying ""yes"" instead of ""no""
I thought I saw you at the bus stop, I didn't though
I hit the ground running each night
I hit the Sunday matinée
You know the greatest films of all time were never made

I guess you never know, never know
And if you wanted me, you really should've showed
And if you never bleed, you're never gonna grow
And it's alright now

But we were something, don't you think so?
Roaring twenties, tossing pennies in the pool
And if my wishes came true
It would've been you
In my defense, I have none
For never leaving well enough alone
But it would've been fun
If you would've been the one
(Ooh)

I have this dream you're doing cool shit
Having adventures on your own
You meet some woman on the internet and take her home
We never painted by the numbers, baby
But we were making it count
You know the greatest loves of all time are over now
I guess you never know, never know
And it's another day waking up alone

But we were something, don't you think so?
Roaring twenties, tossing pennies in the pool
And if my wishes came true
It would've been you
In my defense, I have none
For never leaving well enough alone
But it would've been fun
If you would've been the one

I, I, I persist and resist the temptation to ask you
If one thing had been different
Would everything be different today?

We were something, don't you think so?
Rosé flowing with your chosen family
And it would've been sweet
If it could've been me
In my defense, I have none
For digging up the grave another time
But it would've been fun
If you would've been the one
(Ooh)81EmbedShare URLCopyEmbedCopy"
Taylor Swift,Look What You Made Me Do,"I don't like your little games
Don't like your tilted stage
The role you made me play
Of the fool, no, I don't like you
I don't like your perfect crime
How you laugh when you lie
You said the gun was mine
Isn't cool, no, I don't like you (Oh)

But I got smarter, I got harder in the nick of time
Honey, I rose up from the dead, I do it all the time
I've got a list of names and yours is in red, underlined
I check it once, then I check it twice, oh!

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me—
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do
I don't like your kingdom keys
They once belonged to me
You asked me for a place to sleep
Locked me out and threw a feast (What?)
The world moves on, another day, another drama, drama
But not for me, not for me, all I think about is karma
And then the world moves on, but one thing's for sure
Maybe I got mine, but you'll all get yours

But I got smarter, I got harder in the nick of time
Honey, I rose up from the dead, I do it all the time
I've got a list of names and yours is in red, underlined
I check it once, then I check it twice, oh!

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me—
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do
I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams
(Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me—
Ooh, look what you made me do
Look what you made me do
Look what you just made me—)
""I'm sorry, the old Taylor can't come to the phone right now
""Why? Oh, 'cause she's dead!"" (Oh)

Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me—
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me—
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do215EmbedShare URLCopyEmbedCopy"
Taylor Swift,betty,"Betty, I won't make assumptions
About why you switched your homeroom, but
I think it's 'cause of me
Betty, one time I was riding on my skateboard
When I passed your house
It's like I couldn't breathe

You heard the rumors from Inez
You can't believe a word she says
Most times, but this time it was true
The worst thing that I ever did
Was what I did to you

But if I just showed up at your party
Would you have me? Would you want me?
Would you tell me to go fuck myself
Or lead me to the garden?
In the garden, would you trust me
If I told you it was just a summer thing?
I'm only seventeen, I don't know anything
But I know I miss you

Betty, I know where it all went wrong
Your favorite song was playing
From the far side of the gym
I was nowhere to be found
I hate the crowds, you know that
Plus, I saw you dance with him
You heard the rumors from Inez
You can't believe a word she says
Most times, but this time it was true
The worst thing that I ever did
Was what I did to you

But if I just showed up at your party
Would you have me? Would you want me?
Would you tell me to go fuck myself
Or lead me to the garden?
In the garden, would you trust me
If I told you it was just a summer thing?
I'm only seventeen, I don't know anything
But I know I miss you

I was walking home on broken cobblestones
Just thinking of you when she pulled up like
A figment of my worst intentions
She said ""James, get in, let's drive""
Those days turned into nights
Slept next to her, but
I dreamt of you all summer long
Betty, I'm here on your doorstep
And I planned it out for weeks now
But it's finally sinkin' in
Betty, right now is the last time
I can dream about what happens when
You see my face again

The only thing I wanna do
Is make it up to you
So I showed up at your party
Yeah, I showed up at your party

Yeah, I showed up at your party
Will you have me? Will you love me?
Will you kiss me on the porch
In front of all your stupid friends?
If you kiss me, will it be just like I dreamed it?
Will it patch your broken wings?
I'm only seventeen, I don't know anything
But I know I miss you

Standing in your cardigan
Kissin' in my car again
Stopped at a streetlight
You know I miss you68EmbedShare URLCopyEmbedCopy"
Taylor Swift,august,"Salt air, and the rust on your door
I never needed anything more
Whispers of ""Are you sure?""
""Never have I ever before""

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine

Your back beneath the sun
Wishin' I could write my name on it
Will you call when you're back at school?
I remember thinkin' I had you

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
Back when we were still changin' for the better
Wanting was enough
For me, it was enough
To live for the hope of it all
Cancel plans just in case you'd call
And say, ""Meet me behind the mall""
So much for summer love and saying ""us""
'Cause you weren't mine to lose
You weren't mine to lose, no

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine

'Cause you were never mine
Never mine
But do you remember?
Remember when I pulled up and said ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all, for the hope of it all
""Meet me behind the mall""
(Remember when I pulled up and said ""Get in the car"")
(And then canceled my plans just in case you'd call?)
(Back when I was livin' for the hope of it all, for the hope of it all)
(""Meet me behind the mall"")
Remember when I pulled up and said ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all (For the hope of it all)
For the hope of it all, for the hope of it all
(For the hope of it all, for the hope of it all)82EmbedShare URLCopyEmbedCopy"
Taylor Swift,End Game,"I wanna be your end game
I wanna be your first string
I wanna be your A-Team (Whoa, whoa, whoa)
I wanna be your end game, end game

Big reputation, big reputation
Ooh, you and me, we got big reputations, ah
And you heard about me, ooh
I got some big enemies (Yeah)
Big reputation, big reputation
Ooh, you and me would be a big conversation, ah (Git, git)
And I heard about you, ooh (Yeah)
You like the bad ones, too

You so dope, don't overdose, I’m so stoked, I need a toast
We do the most, I'm in the Ghost like I'm whippin’ a boat
I got a reputation, girl that don't precede me (Yeah)
I'm one call away whenever you need me (Yeah)
I'm in a G5 (Yeah), come to the A-Side (Yeah)
I got a bad boy persona, that's what they like (What they like)
You love it, I love it too 'cause you my type (You my type)
You hold me down and I protect you with my life
I don't wanna touch you, I don't wanna be
Just another ex-love you don’t wanna see
I don’t wanna miss you (I don't wanna miss you)
Like the other girls do
I don’t wanna hurt you, I just wanna be
Drinking on a beach with you all over me
I know what they all say (I know what they all say)
But I ain't tryna play

I wanna be your end game (End game)
I wanna be your first string (First string)
I wanna be your A-Team (A-Team)
I wanna be your end game, end game

Knew her when I was young, reconnected when we were little bit older
Both sprung, I got issues and chips on both of my shoulders
Reputation precedes me, in rumors, I'm knee-deep
The truth is, it's easier to ignore it, believe me
Even when we’d argue, we'd not do it for long
And you understand the good and bad end up in the song
For all your beautiful traits, and the way you do it with ease
For all my flaws, paranoia, and insecurities
I've made mistakes and made some choices, that's hard to deny
After the storm, something was born on the 4th of July
I've passed days without fun, this end game is the one
With four words on the tip of my tongue, I'll never say it
I don't wanna touch you, I don't wanna be
Just another ex-love you don't wanna see
I don't wanna miss you (I don't wanna miss you)
Like the other girls do
I don't wanna hurt you, I just wanna be
Drinking on a beach with you all over me
I know what they all say, yeah
But I ain't tryna play

I wanna be your end game (End game)
I wanna be your first string (Wanna be your first string)
I wanna be your A-Team (A-Team)
I wanna be your end game, end game

Big reputation, big reputation
Ooh, you and me, we got big reputations, ah
And you heard about me, ooh
I got some big enemies
Hey, big reputation, big reputation
Ooh, you and me would be a big conversation, ah
And I heard about you, ooh
You like the bad ones, too
I hit you like bang, we tried to forget it, but we just couldn't
And I bury hatchets, but I keep maps of where I put 'em
Reputation precedes me, they told you I'm crazy
I swear I don't love the drama, it loves me
And I can't let you go, your hand prints on my soul
It's like your eyes are liquor, it's like your body is gold
You've been calling my bluff on all my usual tricks
So here's the truth from my red lips

I wanna be your end game (End game)
I wanna be your first string (Me and you, first string)
I wanna be your A-Team (Be your A-Team now, A-Team)
I wanna be your end game, end game
I wanna be your end game (Oh, I do)
I wanna be your first string (First string)
I wanna be your A-Team (A-Team)
I wanna be your end game, end game104EmbedShare URLCopyEmbedCopy"
Taylor Swift,You Need To Calm Down,"You are somebody that I don't know
But you're takin' shots at me like it's Patrón
And I'm just like, damn, it's 7 AM
Say it in the street, that's a knock-out
But you say it in a Tweet, that's a cop-out
And I'm just like, ""Hey, are you okay?""

And I ain't tryna mess with your self-expression
But I've learned a lesson that stressin' and obsessin' 'bout somebody else is no fun
And snakes and stones never broke my bones

So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down, you're being too loud
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)
You need to just stop, like can you just not step on my gown?
You need to calm down

You are somebody that we don't know
But you're comin' at my friends like a missile
Why are you mad when you could be GLAAD? (You could be GLAAD)
Sunshine on the street at the parade
But you would rather be in the dark ages
Makin' that sign must've taken all night
You just need to take several seats and then try to restore the peace
And control your urges to scream about all the people you hate
'Cause shade never made anybody less gay

So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down, you're being too loud
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)
You need to just stop, like can you just not step on his gown?
You need to calm down

And we see you over there on the internet
Comparing all the girls who are killing it
But we figured you out
We all know now we all got crowns
You need to calm down

Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh
You need to calm down (You need to calm down)
You're being too loud (You're being too loud)
And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh)
You need to just stop (Can you stop?)
Like can you just not step on our gowns?
You need to calm down103EmbedShare URLCopyEmbedCopy"
Taylor Swift,ME!,"I promise that you'll never find another like me

I know that I'm a handful, baby, uh
I know I never think before I jump
And you're the kind of guy the ladies want
(And there's a lot of cool chicks out there)
I know that I went psycho on the phone
I never leave well enough alone
And trouble's gonna follow where I go
(And there's a lot of cool chicks out there)

But one of these things is not like the others
Like a rainbow with all of the colors
Baby doll, when it comes to a lover
I promise that you'll never find another like

Me-e-e, ooh-ooh-ooh-ooh
I'm the only one of me
Baby, that's the fun of me
Eeh-eeh-eeh, ooh-ooh-ooh-ooh
You're the only one of you
Baby, that's the fun of you
And I promise that nobody's gonna love you like me-e-e
I know I tend to make it about me
I know you never get just what you see
But I will never bore you, baby
(And there's a lot of lame guys out there)
And when we had that fight out in the rain
You ran after me and called my name
I never wanna see you walk away
(And there's a lot of lame guys out there)

'Cause one of these things is not like the others
Livin' in winter, I am your summer
Baby doll, when it comes to a lover
I promise that you'll never find another like

Me-e-e, ooh-ooh-ooh-ooh
I'm the only one of me
Let me keep you company
Eeh-eeh-eeh, ooh-ooh-ooh-ooh
You're the only one of you
Baby, that's the fun of you
And I promise that nobody's gonna love you like me-e-e

Girl, there ain't no I in ""team""
But you know there is a ""me""
Strike the band up, 1, 2, 3
I promise that you'll never find another like me
Girl, there ain't no I in ""team""
But you know there is a ""me""
And you can't spell ""awesome"" without ""me""
I promise that you'll never find another like
Me-e-e (Yeah), ooh-ooh-ooh-ooh (And I want ya, baby)
I'm the only one of me (I'm the only one of me)
Baby, that's the fun of me (Baby, that's the fun of me)
Eeh-eeh-eeh, ooh-ooh-ooh-ooh (Oh)
You're the only one of you (Oh)
Baby, that's the fun of you
And I promise that nobody's gonna love you like me-e-e

Girl, there ain't no I in ""team"" (Ooh-ooh-ooh-ooh)
But you know there is a ""me""
I'm the only one of me (Oh-oh)
Baby, that's the fun of me
(Eeh-eeh-eeh, ooh-ooh-ooh-ooh)
Strike the band up, 1, 2, 3
You can't spell ""awesome"" without ""me""
You're the only one of you
Baby, that's the fun of you
And I promise that nobody's gonna love you like me-e-e112EmbedShare URLCopyEmbedCopy"
